"date","fav","id","rt","text","url"
"1/2/2016 0:56:58","1","693946104384196609","","@Tawil @vgiadas oso hormiguero libertario.","twitter.com/Rocigaot/status/693946104384196609"
"1/2/2016 0:48:56","","693944082750644224","","@vgiadas Tordesillas, the happiest place in the world.","twitter.com/Rocigaot/status/693944082750644224"
"1/2/2016 0:48:18","1","693943920192012288","","@Tawil @vgiadas ai, quero un destes! de tan feo resulta achuchable!","twitter.com/Rocigaot/status/693943920192012288"
"1/2/2016 0:45:32","15","693943224927395841","1","@janeaustenenfur 'no vamos a fotografiar y enterrar a la abuela aún,esperemos unos meses, que el niño está pocho, y hacemos un 2x1'","twitter.com/Rocigaot/status/693943224927395841"
"1/2/2016 0:43:53","1","693942811075411970","","@vgiadas Políticos inaugurando el Monumento a la Bajona.","twitter.com/Rocigaot/status/693942811075411970"
"1/2/2016 0:37:12","","693941127683182592","","@soloviernes @janeaustenenfur yo apostaría por que la muerta es la sentada porque es como la ubicaría yo. No porque la otra parezca más viva","twitter.com/Rocigaot/status/693941127683182592"
"1/2/2016 0:36:15","17","693940888184213505","3","@janeaustenenfur ay,qué rabia me da cuando hay gente que estando cadáver es más fotogénica que yo!","twitter.com/Rocigaot/status/693940888184213505"
"1/2/2016 0:33:25","1","693940176582766592","","@vgiadas a ver, eu creo que aínda quedan opcións pero que lucen pouco. Koala Libertario, Mexillón Libertario, Hamster Libertario...","twitter.com/Rocigaot/status/693940176582766592"
"1/2/2016 0:31:08","1","693939600188915712","","@vgiadas eras ti quen dicía fai uns días que xa só lles queda 'ornitorrinco' e algún máis polo estilo?","twitter.com/Rocigaot/status/693939600188915712"
"1/2/2016 0:20:00","4","693936798616125440","1","'Cualquiera puede ser de Anonymous sólo con decir que es de Anonymous'pic.twitter.com/mlxJ5jvf2T","twitter.com/Rocigaot/status/693936798616125440"
"1/2/2016 0:19:11","2","693936592776466432","","@janeaustenenfur yo diría que la madre, que está recostadita contra la pared. Y el niño no sé si está fiambre o es que no era muy despierto.","twitter.com/Rocigaot/status/693936592776466432"
"1/2/2016 0:12:00","7","693934787740995584","4","'Son Anonymous a ratos'. Anonymous fijos discontinuos. #CuartoMilenio","twitter.com/Rocigaot/status/693934787740995584"
"1/2/2016 0:02:55","14","693932501241315328","7","Cuando hablan de 'la Red' en #CuartoMileniopic.twitter.com/3wQMuCW8Wg","twitter.com/Rocigaot/status/693932501241315328"
"31/1/2016 23:01:00","2","693916918521135104","","Hablan de Bowie en #CuartoMilenio ! porfa, que esté De Vidente y le llame Davíd Bobui, como Pérez Varela con lo del Xacobeo! #estonejengue","twitter.com/Rocigaot/status/693916918521135104"
"31/1/2016 1:26:56","2","693591256975409154","","@LatveriasDoom @ComandanteVimes igual en esa habitación ha dejado mierdas que le han regalado a ella y que no quiere en la suya XD","twitter.com/Rocigaot/status/693591256975409154"
"31/1/2016 1:16:43","","693588685703348224","","@LatveriasDoom @ComandanteVimes con esa decoración, una de dos: o tu casera es una señora de 80 años o tus caseros son Alaska y Mario.","twitter.com/Rocigaot/status/693588685703348224"
"31/1/2016 0:21:56","2","693574896920698880","","@LatveriasDoom sólo le falta la cama de Totoro.","twitter.com/Rocigaot/status/693574896920698880"
"30/1/2016 22:46:43","1","693550935239434240","1","@Srta_Angus up next: Albert acude de reenganche a una reunión de la comunidad de vecinos.pic.twitter.com/bizgUG5QqP","twitter.com/Rocigaot/status/693550935239434240"
"30/1/2016 22:39:52","2","693549211825086464","3","@Srta_Angus Alberto le coge prestada harina a Albert para hacer un pastel y llevarlo a una fiesta del partido. O eso cree él que es.","twitter.com/Rocigaot/status/693549211825086464"
"30/1/2016 22:37:57","","693548728414814208","","@Facking_Ancho @SnowFey @perradesatan de todas formas, yo juraría que he comido fuet y que no sabía así. ¿No estará caducado, o algo?","twitter.com/Rocigaot/status/693548728414814208"
"1/2/2016 0:39:01","1","693941584438677508","","@Tawil @vgiadas Olinguito Libertario","twitter.com/Rocigaot/status/693941584438677508"
