date,fav,id,rt,text,url,,,,,
1/2/2016 0:56:58,1,"6,93946104384197E+017",,@Tawil @vgiadas oso hormiguero libertario.,twitter.com/Rocigaot/status/693946104384196609,,,,,
1/2/2016 0:48:56,,"6,93944082750644E+017",,"@vgiadas Tordesillas, the happiest place in the world.",twitter.com/Rocigaot/status/693944082750644224,,,,,
1/2/2016 0:48:18,1,"6,93943920192012E+017",,"@Tawil @vgiadas ai, quero un destes! de tan feo resulta achuchable!",twitter.com/Rocigaot/status/693943920192012288,,,,,
1/2/2016 0:45:32,15,"6,93943224927396E+017",1,"@janeaustenenfur 'no vamos a fotografiar y enterrar a la abuela aún,esperemos unos meses, que el niño está pocho, y hacemos un 2x1'",twitter.com/Rocigaot/status/693943224927395841,,,,,
1/2/2016 0:43:53,1,"6,93942811075412E+017",,@vgiadas Políticos inaugurando el Monumento a la Bajona.,twitter.com/Rocigaot/status/693942811075411970,,,,,
1/2/2016 0:37:12,,"6,93941127683183E+017",,@soloviernes @janeaustenenfur yo apostaría por que la muerta es la sentada porque es como la ubicaría yo. No porque la otra parezca más viva,twitter.com/Rocigaot/status/693941127683182592,,,,,
1/2/2016 0:36:15,17,"6,93940888184213E+017",3,"@janeaustenenfur ay,qué rabia me da cuando hay gente que estando cadáver es más fotogénica que yo!",twitter.com/Rocigaot/status/693940888184213505,,,,,
1/2/2016 0:33:25,1,"6,93940176582767E+017",,"@vgiadas a ver, eu creo que aínda quedan opcións pero que lucen pouco. Koala Libertario, Mexillón Libertario, Hamster Libertario...",twitter.com/Rocigaot/status/693940176582766592,,,,,
1/2/2016 0:31:08,1,"6,93939600188916E+017",,@vgiadas eras ti quen dicía fai uns días que xa só lles queda 'ornitorrinco' e algún máis polo estilo?,twitter.com/Rocigaot/status/693939600188915712,,,,,
1/2/2016 0:20:00,4,"6,93936798616126E+017",1,'Cualquiera puede ser de Anonymous sólo con decir que es de Anonymous'pic.twitter.com/mlxJ5jvf2T,twitter.com/Rocigaot/status/693936798616125440,,,,,
1/2/2016 0:19:11,2,"6,93936592776466E+017",,"@janeaustenenfur yo diría que la madre, que está recostadita contra la pared. Y el niño no sé si está fiambre o es que no era muy despierto.",twitter.com/Rocigaot/status/693936592776466432,,,,,
1/2/2016 0:12:00,7,"6,93934787740996E+017",4,'Son Anonymous a ratos'. Anonymous fijos discontinuos. #CuartoMilenio,twitter.com/Rocigaot/status/693934787740995584,,,,,
1/2/2016 0:02:55,14,"6,93932501241315E+017",7,Cuando hablan de 'la Red' en #CuartoMileniopic.twitter.com/3wQMuCW8Wg,twitter.com/Rocigaot/status/693932501241315328,,,,,
31/1/2016 23:01:00,2,"6,93916918521135E+017",,"Hablan de Bowie en #CuartoMilenio ! porfa, que esté De Vidente y le llame Davíd Bobui, como Pérez Varela con lo del Xacobeo! #estonejengue",twitter.com/Rocigaot/status/693916918521135104,,,,,
31/1/2016 1:26:56,2,"6,93591256975409E+017",,@LatveriasDoom @ComandanteVimes igual en esa habitación ha dejado mierdas que le han regalado a ella y que no quiere en la suya XD,twitter.com/Rocigaot/status/693591256975409154,,,,,
31/1/2016 1:16:43,,"6,93588685703348E+017",,"@LatveriasDoom @ComandanteVimes con esa decoración, una de dos: o tu casera es una señora de 80 años o tus caseros son Alaska y Mario.",twitter.com/Rocigaot/status/693588685703348224,,,,,
31/1/2016 0:21:56,2,"6,93574896920699E+017",,@LatveriasDoom sólo le falta la cama de Totoro.,twitter.com/Rocigaot/status/693574896920698880,,,,,
30/1/2016 22:46:43,1,"6,93550935239434E+017",1,@Srta_Angus up next: Albert acude de reenganche a una reunión de la comunidad de vecinos.pic.twitter.com/bizgUG5QqP,twitter.com/Rocigaot/status/693550935239434240,,,,,
30/1/2016 22:39:52,2,"6,93549211825086E+017",3,@Srta_Angus Alberto le coge prestada harina a Albert para hacer un pastel y llevarlo a una fiesta del partido. O eso cree él que es.,twitter.com/Rocigaot/status/693549211825086464,,,,,
30/1/2016 22:37:57,,"6,93548728414814E+017",,"@Facking_Ancho @SnowFey @perradesatan de todas formas, yo juraría que he comido fuet y que no sabía así. ¿No estará caducado, o algo?",twitter.com/Rocigaot/status/693548728414814208,,,,,
1/2/2016 0:39:01,1,"6,93941584438678E+017",,@Tawil @vgiadas Olinguito Libertario,twitter.com/Rocigaot/status/693941584438677508,,,,,
30/1/2016 22:36:30,2,"6,93548365892751E+017",,"@Facking_Ancho @SnowFey @perradesatan o igual al contrario, las pollas le calman el antojo de fuet y le evitan abandonar el veganismo!",twitter.com/Rocigaot/status/693548365892751360,,,,,
30/1/2016 22:22:33,3,"6,93544853263753E+017",4,@Srta_Angus next chapter:Alberto da una fiesta y Albert va a quejarse por el ruido pero hay una que le mola y se queda fingiendo ser rojo,twitter.com/Rocigaot/status/693544853263753216,,,,,
30/1/2016 22:10:57,5,"6,93541934405702E+017",4,"Pues oye, de aquí aún salía una sitcom.https://twitter.com/abc_es/status/693365592229806080 …Rivera se muda a Madrid al mismo edificio que Alberto Garzón http://ww.abc.es/XIq28 ",twitter.com/Rocigaot/status/693541934405701632,,,,,
30/1/2016 22:06:53,1,"6,93540914208358E+017",,@Tawil eu onte tomei dúas cervexas das negras de Estrella Galicia e hoxe espertei con resaca. Co que eu era...,twitter.com/Rocigaot/status/693540914208358400,,,,,
30/1/2016 3:25:40,,"6,93258748429779E+017",,@xoancastro pobres!,twitter.com/Rocigaot/status/693258748429778949,,,,,
30/1/2016 3:22:06,,"6,93257850005668E+017",,"@xoancastro ai, non, eu fan dos koalas a morte!",twitter.com/Rocigaot/status/693257850005667842,,,,,
30/1/2016 3:07:02,1,"6,93254058644234E+017",,"@xoancastro eu é que con un animal así de vago teño que identificarme, si ou si.",twitter.com/Rocigaot/status/693254058644234240,,,,,
30/1/2016 3:06:12,,"6,93253848232792E+017",,"@xoancastro ai, pobres! vale que teñen máis ou menos as mesmas ventaxas evolutivas que a orugrita, pero son monos!",twitter.com/Rocigaot/status/693253848232792065,,,,,
30/1/2016 2:58:03,,"6,93251798598054E+017",,@xoancastro eu no lugar de koalas e pandas metería aos 'yo es que soy supersincero y todo te lo digo a la cara' e aos expertos en coaching,twitter.com/Rocigaot/status/693251798598053888,,,,,
30/1/2016 2:57:18,,"6,93251611112645E+017",,@xoancastro a min os koalas e os pandas gústanme (en xeral calqueira bicho menos insectos e gaivotas). Os demáis mandábaos ao gulag.,twitter.com/Rocigaot/status/693251611112644609,,,,,
30/1/2016 2:42:46,,"6,93247950999405E+017",,@xoancastro pero se son super riquiños! xa vexo que ti levas o mesmo rollo que a raíña Sofía.pic.twitter.com/sX1sp1VqHW,twitter.com/Rocigaot/status/693247950999404544,,,,,
30/1/2016 2:23:38,1,"6,93243136265556E+017",,"@Marmota_Maligna pero oye, sí, nos hemos quedado a dos decretos ley de que cada semana mandaran a un parado a abrazar a Rajoy y darle ánimos",twitter.com/Rocigaot/status/693243136265555968,,,,,
